-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,-1,2,2,2,2,2,-1,2,2,2,2,2,-1,2,2,-1,-1,2,2,-1,2,2,-1,-1,2,2,-1,-1,2,2,2,2,-1,-1,2,-1,2,2,-1,2,-1,2,2,-1,-1,-1,2,2,-1,2,2,-1,-1,2,2,-1,-1,2,-1,2,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,2,2,2,2,2,-1,2,2,2,2,2,-1,2,2,-1,-1,2,2,-1,2,2,-1,-1,2,2,-1,-1,2,2,2,2,-1,-1,2,-1,2,2,-1,2,-1,2,2,-1,-1,-1,2,2,-1,2,2,-1,-1,2,2,-1,-1,2,-1,2,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1
-1,18,19,-1,-1,2,2,2,2,2,-1,2,2,2,2,2,-1,2,2,-1,-1,2,2,-1,2,2,-1,-1,2,2,-1,-1,2,2,2,2,-1,-1,2,-1,2,2,-1,2,-1,2,2,-1,-1,-1,2,2,-1,2,2,-1,-1,2,2,-1,-1,2,-1,2,-1,-1,-1,2,2,-1,-1,-1,-1,16,17
0,26,27,-1,-1,2,2,2,2,2,-1,2,2,2,2,2,-1,2,2,-1,-1,2,2,-1,2,2,-1,-1,2,2,-1,-1,2,2,2,2,-1,-1,2,-1,2,2,-1,2,-1,2,2,-1,-1,-1,2,2,-1,2,2,-1,-1,2,2,-1,-1,2,-1,2,-1,-1,-1,2,2,-1,-1,-1,-1,24,25
1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,7,1,1,1,1
